topic,instrument,event_date,buy_date,buy_price,post_count,avg_sentiment,sentiment_label,total_engagement,headline_text,return_1d_pct,value_1d,return_1w_pct,value_1w,return_1m_pct,value_1m
bitcoin,bitcoin,2019-07-12,2019-07-12,11815.9863,1,-0.3532,negative,83377,"I am not a fan of Bitcoin and other Cryptocurrencies, which are not money, and whose value is highly volatile and based on thin air. Unregulated Crypto Assets can facilitate unlawful behavior, includi",-3.585,96414.96,-10.8772,89122.75,-2.4747,97525.33
bitcoin,bitcoin,2024-05-25,2024-05-25,69265.9453,1,-0.8806,negative,13673,"I AM VERY POSITIVE AND OPEN MINDED TO CRYPTOCURRENCY COMPANIES, AND ALL THINGS RELATED TO THIS NEW AND BURGEONING INDUSTRY. OUR COUNTRY MUST BE THE LEADER IN THE FIELD. THERE IS NO SECOND PLACE. CROOK",-1.0797,98920.32,-2.2508,97749.24,-12.9768,87023.16
bitcoin,bitcoin,2024-06-12,2024-06-12,68241.1875,1,0.7097,positive,20716,"VOTE FOR TRUMP! Bitcoin mining may be our last line of defense against a CBDC. Biden’s hatred of Bitcoin only helps China, Russia, and the Radical Communist Left. We want all the remaining Bitcoin to ",-2.1758,97824.2,-4.8078,95192.21,-15.1547,84845.34
bitcoin,bitcoin,2024-07-27,2024-07-27,67813.3359,2,0.4211,positive,36070,"On my way to The Bitcoin Conference in Nashville, Tennessee. Join me live at 2pmCDT/3pmEST via @Rumble : https:// rumble.com/v586l5o-bitcoin-202 4-conference-nashville-general-day-2-0727.html",0.6526,100652.57,-10.5189,89481.06,-7.2739,92726.1
bitcoin,bitcoin,2024-07-31,2024-07-31,64619.25,1,0.8864,positive,12399,"Just spoke at the Bitcoin Conference in Nashville, Tennessee on Saturday. It was GREAT! Get your Bitcoin Sneakers now. These are Limited Edition, they are each numbered, and you can now pay with Bitco",1.1425,101142.46,-14.8435,85156.45,-8.511,91488.96
bitcoin,bitcoin,2024-09-12,2024-09-12,58127.0117,1,0.0,neutral,6871,https://www. coindesk.com/policy/2024/08/30 /crypto-holders-disproportionately-favor-trump-for-us-president-new-academic-poll-shows/,4.2051,104205.08,8.2809,108280.91,8.7154,108715.42
bitcoin,bitcoin,2024-09-18,2024-09-18,61649.6797,1,0.0,neutral,16206,“President Trump just became the first President to send a transaction using Bitcoin.”,2.0937,102093.73,2.4225,102422.5,10.98,110979.96
bitcoin,bitcoin,2024-09-21,2024-09-21,63394.8398,2,0.443,positive,18951,https:// justthenews.com/politics-polic y/all-things-trump/trump-uses-bitcoin-buy-hamburgers-new-york,0.4005,100400.46,3.9322,103932.19,6.2671,106267.09
bitcoin,bitcoin,2024-09-30,2024-09-30,63329.5,2,0.903,positive,117688,"I promised to Make America Great Again, this time with crypto. @WorldLibertyFi is planning to help make America the crypto capital of the world! The whitelist for eligible persons is officially open –",-3.9358,96064.25,-1.7256,98274.36,14.2272,114227.24
bitcoin,bitcoin,2024-10-31,2024-10-31,70215.1875,2,0.8652,positive,28801,"I would like to wish our great Bitcoiners a Happy 16th Anniversary of Satoshi’s White Paper. We will end Kamala’s war on crypto, & Bitcoin will be MADE IN THE USA! VOTE TRUMP! #Bitcoin #FreeRossDayOne",-1.0435,98956.47,8.1032,108103.19,37.3621,137362.1
bitcoin,bitcoin,2024-12-04,2024-12-04,98768.5312,1,0.9786,positive,10,I am delighted to announce the nomination of Paul Atkins to be the next Chairman of the Securities & Exchange Commission.\n \nPaul is a proven leader for common sense regulations. He believes in the p,-2.2021,97797.92,2.4345,102434.48,-0.6693,99330.66
bitcoin,bitcoin,2024-12-06,2024-12-06,99920.7109,1,0.9432,positive,20,"I am pleased to announce that David O. Sacks will be the “White House A.I. & Crypto Czar.” In this important role, David will guide policy for the Administration in Artificial Intelligence and Cryptoc",0.0026,100002.63,1.5398,101539.77,-1.607,98392.98
bitcoin,bitcoin,2024-12-22,2024-12-22,95104.9375,2,0.9687,positive,65,"….Additionally, Bo Hines will be the Executive Director of the Presidential Council of Advisers for Digital Assets (the ""Crypto Council""), a new advisory group composed of luminaries from the Crypto i",-0.4402,99559.75,-1.6558,98344.24,11.6096,111609.63
