event_date,buy_date,topic,topic_display,instrument,post_count,avg_sentiment,sentiment_label,total_engagement,platform,headline_text,buy_price,presidency_era,in_office,return_1d_pct,value_1d,return_1w_pct,value_1w,return_1m_pct,value_1m
2019-07-12,2019-07-12,bitcoin,Bitcoin,bitcoin,1,-0.3532,negative,83377,Twitter,"I am not a fan of Bitcoin and other Cryptocurrencies, which are not money, and whose value is highly volatile and based on thin air. Unregulated Crypto Assets can facilitate unlawful behavior, including drug trade and other illegal activity....",11815.9863,President — 1st Term (2017–2021),In Office,-3.585,96414.96,-10.8772,89122.75,-2.4747,97525.33
2024-05-25,2024-05-25,bitcoin,Bitcoin,bitcoin,1,-0.8806,negative,13673,Truth Social,"I AM VERY POSITIVE AND OPEN MINDED TO CRYPTOCURRENCY COMPANIES, AND ALL THINGS RELATED TO THIS NEW AND BURGEONING INDUSTRY. OUR COUNTRY MUST BE THE LEADER IN THE FIELD. THERE IS NO SECOND PLACE. CROOKED JOE BIDEN, ON THE OTHER HAND, THE WORST PRESIDENT IN THE HISTORY OF OUR COUNTRY, WANTS IT TO DIE ",69265.9453,Not President (2021–2024),Not In Office,-1.0797,98920.32,-2.2508,97749.24,-12.9768,87023.16
2024-06-12,2024-06-12,bitcoin,Bitcoin,bitcoin,1,0.7097,positive,20716,Truth Social,"VOTE FOR TRUMP! Bitcoin mining may be our last line of defense against a CBDC. Biden’s hatred of Bitcoin only helps China, Russia, and the Radical Communist Left. We want all the remaining Bitcoin to be MADE IN THE USA!!! It will help us be ENERGY DOMINANT!!! https:// bitcoinmagazine.com/culture/tr ",68241.1875,Not President (2021–2024),Not In Office,-2.1758,97824.2,-4.8078,95192.21,-15.1547,84845.34
2024-07-27,2024-07-27,bitcoin,Bitcoin,bitcoin,2,0.4211,positive,36070,Truth Social,"On my way to The Bitcoin Conference in Nashville, Tennessee. Join me live at 2pmCDT/3pmEST via @Rumble : https:// rumble.com/v586l5o-bitcoin-202 4-conference-nashville-general-day-2-0727.html",67813.3359,Not President (2021–2024),Not In Office,0.6526,100652.57,-10.5189,89481.06,-7.2739,92726.1
2024-07-31,2024-07-31,bitcoin,Bitcoin,bitcoin,1,0.8864,positive,12399,Truth Social,"Just spoke at the Bitcoin Conference in Nashville, Tennessee on Saturday. It was GREAT! Get your Bitcoin Sneakers now. These are Limited Edition, they are each numbered, and you can now pay with Bitcoin or your favorite Crypto. Have fun — Go to https:// gettrumpsneakers.com/ before they are gone!",64619.25,Not President (2021–2024),Not In Office,1.1425,101142.46,-14.8435,85156.45,-8.511,91488.96
2024-09-12,2024-09-12,bitcoin,Bitcoin,bitcoin,1,0.0,neutral,6871,Truth Social,https://www. coindesk.com/policy/2024/08/30 /crypto-holders-disproportionately-favor-trump-for-us-president-new-academic-poll-shows/,58127.0117,Not President (2021–2024),Not In Office,4.2051,104205.08,8.2809,108280.91,8.7154,108715.42
2024-09-18,2024-09-18,bitcoin,Bitcoin,bitcoin,1,0.0,neutral,16206,Truth Social,“President Trump just became the first President to send a transaction using Bitcoin.”,61649.6797,Not President (2021–2024),Not In Office,2.0937,102093.73,2.4225,102422.5,10.98,110979.96
2024-09-21,2024-09-21,bitcoin,Bitcoin,bitcoin,2,0.443,positive,18951,Truth Social,https:// justthenews.com/politics-polic y/all-things-trump/trump-uses-bitcoin-buy-hamburgers-new-york,63394.8398,Not President (2021–2024),Not In Office,0.4005,100400.46,3.9322,103932.19,6.2671,106267.09
2024-09-30,2024-09-30,bitcoin,Bitcoin,bitcoin,2,0.903,positive,117688,Truth Social,"I promised to Make America Great Again, this time with crypto. @WorldLibertyFi is planning to help make America the crypto capital of the world! The whitelist for eligible persons is officially open – this is your chance to be part of this historic moment. Join:…",63329.5,Not President (2021–2024),Not In Office,-3.9358,96064.25,-1.7256,98274.36,14.2272,114227.24
2024-10-31,2024-10-31,bitcoin,Bitcoin,bitcoin,2,0.8652,positive,28801,Truth Social,"I would like to wish our great Bitcoiners a Happy 16th Anniversary of Satoshi’s White Paper. We will end Kamala’s war on crypto, & Bitcoin will be MADE IN THE USA! VOTE TRUMP! #Bitcoin #FreeRossDayOne",70215.1875,Not President (2021–2024),Not In Office,-1.0435,98956.47,8.1032,108103.19,37.3621,137362.1
