event_date,buy_date,topic,topic_display,instrument,post_count,avg_sentiment,sentiment_label,total_engagement,platform,headline_text,buy_price,presidency_era,in_office,return_1d_pct,value_1d,return_1w_pct,value_1w,return_1m_pct,value_1m
2017-06-11,2017-06-12,nasdaq,Nasdaq,nasdaq,1,-0.2946,negative,103978,Twitter,The #FakeNews MSM doesn't report the great economic news since Election Day. #DOW up 16%. #NASDAQ up 19.5%. Drilling & energy sector...,6175.46,President — 1st Term (2017–2021),In Office,0.0,100000.0,1.0291,101029.07,0.2889,100288.88
2017-11-28,2017-11-28,nasdaq,Nasdaq,nasdaq,1,0.0,neutral,49026,Twitter,"Dow, S&P 500 and Nasdaq all finished the day at new RECORD HIGHS! pic.twitter.com/wJyB9d00hh",6912.3599,President — 1st Term (2017–2021),In Office,-1.2726,98727.36,-2.1722,97827.81,0.5469,100546.85
2017-12-16,2017-12-18,nasdaq,Nasdaq,nasdaq,1,0.0,neutral,59605,Twitter,"DOW, S&P 500 and NASDAQ close at record highs! #MAGA pic.twitter.com/hvqwnqSGuG",6994.7598,President — 1st Term (2017–2021),In Office,0.0,100000.0,-0.8365,99163.52,3.2729,103272.88
2018-08-28,2018-08-28,nasdaq,Nasdaq,nasdaq,1,0.0,neutral,127509,Twitter,NASDAQ has just gone above 8000 for the first time in history!,8030.04,President — 1st Term (2017–2021),In Office,0.9919,100991.9,0.7623,100762.26,0.1486,100148.57
2019-02-25,2019-02-25,nasdaq,Nasdaq,nasdaq,1,0.6266,positive,129530,Twitter,Since my election as President the Dow Jones is up 43% and the NASDAQ Composite almost 50%. Great news for your 401(k)s as they continue to grow. We are bringing back America faster than anyone thought possible!,7554.46,President — 1st Term (2017–2021),In Office,-0.0683,99931.69,0.3059,100305.91,1.1771,101177.05
2019-07-12,2019-07-12,nasdaq,Nasdaq,nasdaq,1,0.0,neutral,63335,Twitter,"The DOW, S&P 500, and NASDAQ all close the week at a new record high! pic.twitter.com/wPJiM8n7m2",8244.1396,President — 1st Term (2017–2021),In Office,0.1704,100170.43,-1.1845,98815.53,-4.6182,95381.82
2019-11-01,2019-11-01,nasdaq,Nasdaq,nasdaq,1,0.5837,positive,97903,Twitter,Stock Market up BIG! Record highs for S&P 500 and NASDAQ. Enjoy!,8386.4004,President — 1st Term (2017–2021),In Office,0.558,100558.04,1.0602,101060.16,2.1653,102165.29
2019-11-19,2019-11-19,nasdaq,Nasdaq,nasdaq,1,-0.4633,negative,115707,Twitter,NASDAQ UP 27% THIS YEAR ALONE!,8570.6602,President — 1st Term (2017–2021),In Office,-0.5126,99487.44,0.9016,100901.56,3.6935,103693.53
2019-11-25,2019-11-25,nasdaq,Nasdaq,nasdaq,1,0.0,neutral,99398,Twitter,"“DOW, NASDAQ, S&P 500 CLOSE AT RECORD HIGHS” pic.twitter.com/q8IuuuUGjb",8632.4902,President — 1st Term (2017–2021),In Office,0.1789,100178.85,-0.7472,99252.82,4.5167,104516.65
2019-12-06,2019-12-06,nasdaq,Nasdaq,nasdaq,1,-0.25,negative,102776,Twitter,"Stock Markets Up Record Numbers. For this year alone, Dow up 18.65%, S&P up 24.36%, Nasdaq Composite up 29.17%. “It’s the economy, stupid.”",8656.5303,President — 1st Term (2017–2021),In Office,-0.4009,99599.14,0.9051,100905.09,4.7934,104793.37
2019-12-23,2019-12-23,nasdaq,Nasdaq,nasdaq,1,0.8914,positive,102854,Twitter,NASDAQ UP 72.2% SINCE OUR GREAT 2016 ELECTION VICTORY! DOW UP 55.8%. The best is yet to come!,8945.6504,President — 1st Term (2017–2021),In Office,0.0808,100080.82,0.0038,100003.8,4.8976,104897.57
2019-12-26,2019-12-26,nasdaq,Nasdaq,nasdaq,1,0.0,neutral,82332,Twitter,"“Nasdaq Hits 9,000 for First Time Ever” https://www.breitbart.com/economy/2019/12/26/nasdaq-hits-9000-for-first-time-ever/ …",9022.3896,President — 1st Term (2017–2021),In Office,-0.1748,99825.22,0.7736,100773.64,1.2959,101295.89
2020-05-28,2020-05-28,nasdaq,Nasdaq,nasdaq,1,-0.8516,negative,217751,Twitter,"Big Tech is doing everything in their very considerable power to CENSOR in advance of the 2020 Election. If that happens, we no longer have our freedom. I will never let it happen! They tried hard in 2016, and lost. Now they are going absolutely CRAZY. Stay Tuned!!!",9368.9902,President — 1st Term (2017–2021),In Office,1.2902,101290.21,2.6344,102634.43,5.3918,105391.83
2020-06-09,2020-06-09,nasdaq,Nasdaq,nasdaq,1,0.0,neutral,212628,Twitter,NASDAQ HITS ALL-TIME HIGH!,9953.75,President — 1st Term (2017–2021),In Office,0.6691,100669.09,-0.5815,99418.51,5.9676,105967.6
2020-06-10,2020-06-10,nasdaq,Nasdaq,nasdaq,1,0.5244,positive,208254,Twitter,"NASDAQ HITS ALL-TIME HIGH. Tremendous progress being made, way ahead of schedule. USA!",10020.3496,President — 1st Term (2017–2021),In Office,-5.2655,94734.52,-1.096,98904.04,5.9588,105958.78
