event_date,buy_date,topic,topic_display,instrument,post_count,avg_sentiment,sentiment_label,total_engagement,platform,headline_text,buy_price,presidency_era,in_office,return_1d_pct,value_1d,return_1w_pct,value_1w,return_1m_pct,value_1m
2011-07-08,2011-07-08,iran_geopolitics,Iran & Geopolitics,oil,1,-0.8253,negative,228,Twitter,@Obama - Iranian weapons killing Americans in Iraq? What are u doing about this? http://bit.ly/olNqW5 ,96.2,Not President (Pre-2017),Not In Office,-1.0915,98908.52,1.0811,101081.08,-15.4782,84521.83
2011-07-25,2011-07-25,oil_energy,Oil & Energy,oil,1,-0.7841,negative,205,Twitter,Unfortunately@BarackObama's continued attack on the US $ will lead to ever rising gas prices at the pump and lots of other really bad things,99.2,Not President (Pre-2017),Not In Office,0.3931,100393.15,-4.3448,95655.24,-14.1532,85846.77
2011-08-05,2011-08-05,oil_energy,Oil & Energy,oil,1,0.0,neutral,101,Twitter,"The new President of OPEC is Mahmoud Ahmadinejad’s confidant Rostam Ghasemi, a commander of the Revolutionar… (cont) http://deck.ly/~unUiL",86.88,Not President (Pre-2017),Not In Office,-6.4111,93588.86,-1.7265,98273.48,-0.9899,99010.13
2011-08-10,2011-08-10,oil_energy,Oil & Energy,oil,1,0.2924,positive,234,Twitter,Oil is starting to rise again despite the horrible times. OPEC continues to rip us off. Not worth $30. New leadership needed.,82.89,Not President (Pre-2017),Not In Office,3.4142,103414.16,5.6581,105658.1,5.2479,105247.92
2011-08-13,2011-08-15,oil_energy,Oil & Energy,oil,1,0.4408,positive,238,Twitter,"Mike Huckebee, a great guy, said the President should appoint me Treasury Secretary. China and OPEC would not be happy.",87.88,Not President (Pre-2017),Not In Office,0.0,100000.0,-4.2786,95721.44,0.3528,100352.75
2011-08-22,2011-08-22,oil_energy,Oil & Energy,oil,1,0.2263,positive,211,Twitter,We should have told the so-called rebels “We will only help if you give us 50% of your oil.” http://bit.ly/nxKJ0Q  #trumpvlog,84.12,Not President (Pre-2017),Not In Office,1.5692,101569.19,3.7447,103744.65,2.1398,102139.8
2011-08-23,2011-08-23,oil_energy,Oil & Energy,oil,1,0.0,neutral,324,Twitter,We spent over a billion on Libya and lead the way---why is Europe getting the oil?,85.44,Not President (Pre-2017),Not In Office,-0.3277,99672.28,4.0496,104049.63,-5.7701,94229.87
2011-08-26,2011-08-26,oil_energy,Oil & Energy,oil,1,-0.2714,negative,291,Twitter,Libyan Rebels should have given us 50% of the oil in return for our military support---we don't even ask!,85.37,Not President (Pre-2017),Not In Office,2.2256,102225.61,1.2651,101265.08,-6.0091,93990.86
2011-08-29,2011-08-29,oil_energy,Oil & Energy,oil,1,-0.4215,negative,361,Twitter,Crude is at $85 right now – isn’t even worth half that. OPEC is ripping us off.,87.27,Not President (Pre-2017),Not In Office,1.8678,101867.77,-1.4323,98567.66,-6.944,93056.03
2011-08-31,2011-08-31,oil_energy,Oil & Energy,oil,1,-0.296,negative,116,Twitter,"With gas prices rising and the economy failing, @BarackObama seeks to have his EPA raise energy prices by $109B http://bit.ly/oEldoG ",88.81,Not President (Pre-2017),Not In Office,0.1351,100135.12,0.5968,100596.78,-10.8209,89179.15
2011-09-06,2011-09-06,oil_energy,Oil & Energy,oil,1,0.4939,positive,288,Twitter,Oil is double the price now compared to last year--OPEC is laughing at @BarackObama.,86.02,Not President (Pre-2017),Not In Office,3.8596,103859.57,4.871,104870.96,-3.9874,96012.56
2011-09-07,2011-09-07,oil_energy,Oil & Energy,oil,2,0.1132,positive,614,Twitter,USA should take oil from Iraq in repayment for their liberation. http://bit.ly/pqBAMc ,89.34,Not President (Pre-2017),Not In Office,-0.3246,99675.4,-0.4813,99518.69,-7.1189,92881.13
2011-09-08,2011-09-08,iran_geopolitics,Iran & Geopolitics,oil,1,-0.6808,negative,254,Twitter,Why is the UN planning to attack @Israel's sovereignty and ignore Iran's nuclear program? The US should look at future funding.,89.05,Not President (Pre-2017),Not In Office,-2.0326,97967.43,0.393,100393.04,-4.0876,95912.41
2011-09-12,2011-09-12,iran_geopolitics,Iran & Geopolitics,oil,1,-0.2263,negative,254,Twitter,Iran’s nuclear program must be stopped – by any and all means necessary.,88.19,Not President (Pre-2017),Not In Office,2.2905,102290.51,-2.8234,97176.55,-2.9709,97029.14
2011-09-16,2011-09-16,oil_energy,Oil & Energy,oil,1,0.5574,positive,232,Twitter,If China had a tenth of the natural resources we do then they would already be energy independent. Instead we continue to buy oil from OPEC.,87.96,Not President (Pre-2017),Not In Office,-2.5693,97430.65,-9.2201,90779.9,-1.7963,98203.73
2011-09-23,2011-09-23,oil_energy,Oil & Energy,oil,1,0.2732,positive,212,Twitter,OPEC is ripping us off on oil. We are ripping ourselves off by investing in unproven green energy. #Solyndra,79.85,Not President (Pre-2017),Not In Office,0.4884,100488.42,-0.814,99185.97,14.3018,114301.82
2011-09-27,2011-09-27,oil_energy,Oil & Energy,oil,1,-0.5994,negative,96,Twitter,Our economy is struggling and OPEC continues to rip us off. Output is low and the price is too high. They ar… (cont) http://deck.ly/~GgzAS ,84.45,Not President (Pre-2017),Not In Office,-3.8366,96163.41,-10.3967,89603.32,11.2611,111261.1
