event_date,buy_date,topic,topic_display,instrument,post_count,avg_sentiment,sentiment_label,total_engagement,platform,headline_text,buy_price,presidency_era,in_office,return_1d_pct,value_1d,return_1w_pct,value_1w,return_1m_pct,value_1m
2010-06-28,2010-06-28,sp500,S&P 500,sp500,1,0.6249,positive,36,Twitter,"""Trading Shots with Donald Trump""--a great article in the Wall Street Journal  http://bit.ly/c9eZbq",1074.5699,Not President (Pre-2017),Not In Office,-3.1017,96898.3,-4.3282,95671.78,2.937,102937.0
2011-01-27,2011-01-27,tariffs_china,Tariffs & China,sp500,1,0.0,neutral,311,Twitter,THe people at shouldtrumprun.com have got it right! How are our factories supposed to compete with China and other countries...,1299.54,Not President (Pre-2017),Not In Office,-1.7852,98214.75,0.5817,100581.74,2.13,102129.98
2011-07-07,2011-07-07,israel_mideast,Israel & Middle East,sp500,1,0.0772,positive,489,Twitter,If only @Obama was as focused on balancing the budget as he is on weakening Israel's borders then America would be on the path to solvency.,1353.22,Not President (Pre-2017),Not In Office,-0.6961,99303.88,-3.2774,96722.63,-17.2744,82725.65
2011-07-14,2011-07-14,israel_mideast,Israel & Middle East,sp500,1,-0.3421,negative,520,Twitter,"@BarackObama You have abandoned Israel and engaged the Muslim Brotherhood, and even the Arab world does not like it http://politi.co/qUTXsA ",1308.87,Not President (Pre-2017),Not In Office,0.5554,100555.44,2.6687,102668.71,-7.9748,92025.18
2011-07-18,2011-07-18,tariffs_china,Tariffs & China,sp500,1,0.4753,positive,496,Twitter,Every dollar @BarackObama spends costs $1.40 with interest borrowed from China on our children and grandchildren's backs. CUT-CAP-BALANCE!,1305.4399,Not President (Pre-2017),Not In Office,1.6309,101630.88,2.4505,102450.53,-8.545,91455.0
2011-07-19,2011-07-19,tariffs_china,Tariffs & China,sp500,1,-0.5574,negative,445,Twitter,So China is ordering us to raise the Debt Limit...How low have we as a nation sunk?,1326.73,Not President (Pre-2017),Not In Office,-0.0671,99932.92,0.3927,100392.69,-14.0255,85974.54
2011-07-20,2011-07-20,tariffs_china,Tariffs & China,sp500,1,-0.4939,negative,1578,Twitter,"""China is our enemy--they want to destroy us"" -- Redstate Interview",1325.84,Not President (Pre-2017),Not In Office,1.3546,101354.61,-1.5801,98419.87,-15.259,84740.99
2011-07-27,2011-07-27,tariffs_china,Tariffs & China,sp500,1,-0.8172,negative,306,Twitter,China has so much of our debt that they can't put us in default w/o killing themselves---US needs our toughest negotiator---and fast!,1304.89,Not President (Pre-2017),Not In Office,-0.3234,99676.6,-3.4141,96585.92,-9.8162,90183.85
2011-07-28,2011-07-28,tariffs_china,Tariffs & China,sp500,1,-0.5994,negative,129,Twitter,"@KarlRove's @CrossroadsGPS new ad criticizes Obama for his excessive spending and debt, borrowing from China. Didn't Bush do the same thing?",1300.67,Not President (Pre-2017),Not In Office,-0.6451,99354.95,-7.7345,92265.52,-6.9649,93035.13
2011-08-03,2011-08-03,tariffs_china,Tariffs & China,sp500,1,0.0,neutral,3752,Twitter,Wake Up America -- China is eating our lunch.,1260.34,Not President (Pre-2017),Not In Office,-4.7821,95217.95,-11.0748,88925.21,-6.8529,93147.09
2011-08-04,2011-08-04,tariffs_china,Tariffs & China,sp500,1,-0.5267,negative,207,Twitter,China demanded that we raise our debt ceiling and then their rating agency downgraded us. Our leaders are hope… (cont) http://deck.ly/~x0TDx,1200.0699,Not President (Pre-2017),Not In Office,-0.0575,99942.51,-2.2857,97714.31,-2.9023,97097.68
