event_date,buy_date,topic,topic_display,instrument,post_count,avg_sentiment,sentiment_label,total_engagement,platform,headline_text,buy_price,presidency_era,in_office,return_1d_pct,value_1d,return_1w_pct,value_1w,return_1m_pct,value_1m
2011-12-01,2011-12-01,dow,Dow Jones,dow,1,-0.8629,negative,75,Twitter,Why doesn't OPEC lower the price of crude to help avert the European crisis? Crude keeps rising during the dow… (cont) http://deck.ly/~Dg0Qn ,12020.0303,Not President (Pre-2017),Not In Office,-0.0051,99994.92,-0.1858,99814.23,3.1393,103139.34
2017-02-25,2017-02-27,dow,Dow Jones,dow,1,0.8221,positive,105435,Twitter,"Great optimism for future of U.S. business, AND JOBS, with the DOW having an 11th straight record close. Big tax & regulation cuts coming!",20837.4395,President — 1st Term (2017–2021),In Office,0.0,100000.0,0.561,100561.01,-1.3747,98625.27
2017-11-30,2017-11-30,dow,Dow Jones,dow,1,0.6696,positive,102113,Twitter,"The Dow just broke 24,000 for the first time (another all-time Record). If the Dems had won the Presidential Election, the Market would be down 50% from these levels and Consumer Confidence, which is also at an all-time high, would be “low and glum!”",24272.3496,President — 1st Term (2017–2021),In Office,-0.1679,99832.07,-0.2508,99749.22,2.2728,102272.79
2017-12-18,2017-12-18,dow,Dow Jones,dow,1,0.658,positive,101376,Twitter,70 Record Closes for the Dow so far this year! We have NEVER had 70 Dow Records in a one year period. Wow!,24792.1992,President — 1st Term (2017–2021),In Office,-0.1511,99848.95,-0.1855,99814.5,5.3382,105338.18
2019-02-01,2019-02-01,dow,Dow Jones,dow,1,0.8122,positive,133617,Twitter,"Best January for the DOW in over 30 years. We have, by far, the strongest economy in the world!",25063.8906,President — 1st Term (2017–2021),In Office,0.7001,100700.12,0.1693,100169.33,3.0153,103015.33
2019-02-25,2019-02-25,dow,Dow Jones,dow,1,0.6266,positive,129530,Twitter,Since my election as President the Dow Jones is up 43% and the NASDAQ Composite almost 50%. Great news for your 401(k)s as they continue to grow. We are bringing back America faster than anyone thought possible!,26091.9492,President — 1st Term (2017–2021),In Office,-0.1302,99869.81,-1.0436,98956.39,-1.7874,98212.63
2019-06-07,2019-06-07,dow,Dow Jones,dow,1,0.6696,positive,114469,Twitter,Dow Jones has best week of the year!,25983.9395,President — 1st Term (2017–2021),In Office,0.303,100303.03,0.4067,100406.67,3.1643,103164.27
2019-06-22,2019-06-24,dow,Dow Jones,dow,1,0.9825,positive,85965,Twitter,"I am at Camp David working on many things, including Iran! We have a great Economy, Tariffs have been very helpful both with respect to the huge Dollars coming IN, & on helping to make good Trade Deals. The Dow heading to BEST June in 80 years! Stock Market BEST June in 50 years!",26727.5391,President — 1st Term (2017–2021),In Office,0.0,100000.0,-0.0378,99962.18,1.6626,101662.56
2019-06-24,2019-06-24,dow,Dow Jones,dow,1,-0.1759,negative,77744,Twitter,"....Think of what it could have been if the Fed had gotten it right. Thousands of points higher on the Dow, and GDP in the 4’s or even 5’s. Now they stick, like a stubborn child, when we need rates cuts, & easing, to make up for what other countries are doing against us. Blew it!",26727.5391,President — 1st Term (2017–2021),In Office,-0.6709,99329.09,-0.0378,99962.18,2.0295,102029.49
2019-07-12,2019-07-12,dow,Dow Jones,dow,1,0.0,neutral,63335,Twitter,"The DOW, S&P 500, and NASDAQ all close the week at a new record high! pic.twitter.com/wPJiM8n7m2",27332.0293,President — 1st Term (2017–2021),In Office,0.0993,100099.26,-0.6506,99349.37,-5.2524,94747.59
2019-08-23,2019-08-23,dow,Dow Jones,dow,1,0.0,neutral,86226,Twitter,"The Dow is down 573 points perhaps on the news that Representative Seth Moulton, whoever that may be, has dropped out of the 2020 Presidential Race!",25628.9004,President — 1st Term (2017–2021),In Office,1.0532,101053.22,3.0215,103021.51,5.1547,105154.69
2020-01-10,2020-01-10,dow,Dow Jones,dow,1,0.8814,positive,161793,Twitter,"“11,000 points gained in the Dow in the 3 years since the Election of President Trump. Today it may hit 29,000. That has NEVER happened before in that time frame. That has added 12.8 Trillion Dollars to the VALUE of American Business.” @Varneyco @FoxNews The best is yet to come!",28823.7695,President — 1st Term (2017–2021),In Office,0.2889,100288.93,1.8191,101819.09,1.5718,101571.8
2020-02-11,2020-02-11,dow,Dow Jones,dow,1,-0.1901,negative,85508,Twitter,"When Jerome Powell started his testimony today, the Dow was up 125, & heading higher. As he spoke it drifted steadily downward, as usual, and is now at -15. Germany & other countries get paid to borrow money. We are more prime, but Fed Rate is too high, Dollar tough on exports.",29276.3398,President — 1st Term (2017–2021),In Office,0.9396,100939.6,-0.1508,99849.19,-27.5845,72415.54
2020-09-02,2020-09-02,dow,Dow Jones,dow,1,-0.2905,negative,363059,Twitter,"The Dow Jones Industrial just closed above 29,000! You are so lucky to have me as your President😉With Joe Hiden' it would crash😧",29100.5,President — 1st Term (2017–2021),In Office,-2.7758,97224.21,-3.9863,96013.71,-4.8717,95128.3
2024-07-16,2024-07-16,dow,Dow Jones,dow,1,0.9262,positive,39910,Truth Social,Dow Jones UP 742 based on the fact that the Market expects a TRUMP WIN in November! Nice compliment — Thank you!,40954.4805,Not President (2021–2024),Not In Office,0.5948,100594.8,-1.4562,98543.77,-0.9557,99044.25
