event_date,buy_date,topic,topic_display,instrument,post_count,avg_sentiment,sentiment_label,total_engagement,platform,headline_text,buy_price,presidency_era,in_office,return_1d_pct,value_1d,return_1w_pct,value_1w,return_1m_pct,value_1m
2011-08-10,2011-08-10,fed_rates,Fed & Interest Rates,sp500,1,-0.4767,negative,2077,Twitter,The Fed continues to flood the market with US dollars. Wrong move.,1120.76,Not President (Pre-2017),Not In Office,4.629,104629.0,6.525,106525.04,2.9864,102986.37
2011-09-29,2011-09-29,fed_rates,Fed & Interest Rates,sp500,1,-0.4019,negative,2710,Twitter,The Fed's reckless policies of low interest and flooding the market with dollars needs to be stopped or we will face record inflation.,1160.4,Not President (Pre-2017),Not In Office,-2.4974,97502.59,0.3938,100393.83,8.0059,108005.86
2011-10-11,2011-10-11,fed_rates,Fed & Interest Rates,sp500,1,-0.1531,negative,524,Twitter,The Fed's reckless monetary policy is going to create record inflation.,1195.54,Not President (Pre-2017),Not In Office,0.9795,100979.47,2.4959,102495.94,3.6937,103693.73
2011-10-24,2011-10-24,fed_rates,Fed & Interest Rates,sp500,1,-0.2732,negative,370,Twitter,The Dollar is at an all-time WWII low against the Yen. The Fed's recklessness is going to lead to record inflation.,1254.1899,Not President (Pre-2017),Not In Office,-2.0045,97995.53,-0.071,99929.05,-7.3673,92632.7
2011-10-25,2011-10-25,fed_rates,Fed & Interest Rates,sp500,1,-0.1531,negative,334,Twitter,Printing money is neither a short or long term solution to our country's economic woes. The Fed is destroyin… (cont) http://deck.ly/~lLQsV ,1229.05,Not President (Pre-2017),Not In Office,1.0537,101053.66,-0.8763,99123.71,-5.7264,94273.63
2011-11-10,2011-11-10,fed_rates,Fed & Interest Rates,sp500,1,-0.4997,negative,269,Twitter,"The Fed should not bail out the EU. Europe's financial mess is their problem, not our problem!",1239.7,Not President (Pre-2017),Not In Office,1.9481,101948.05,-1.9013,98098.73,-0.2605,99739.45
2011-12-01,2011-12-01,fed_rates,Fed & Interest Rates,sp500,1,-0.0258,neutral,443,Twitter,The Fed continues to recklessly flood the market with dollars. This will eventually create record inflation. It has to stop. #TimeToGetTough,1244.58,Not President (Pre-2017),Not In Office,-0.0241,99975.9,-0.822,99178.04,2.6097,102609.72
2011-12-28,2011-12-28,fed_rates,Fed & Interest Rates,sp500,1,-0.6597,negative,475,Twitter,The Fed's reckless monetary policies will cause problems in the years to come. The Fed has to be reined in or we will soon be Greece.,1249.64,Not President (Pre-2017),Not In Office,1.0707,101070.71,2.2134,102213.44,5.3367,105336.74
2012-02-09,2012-02-09,fed_rates,Fed & Interest Rates,sp500,1,-0.5574,negative,323,Twitter,The Fed is destroying the dollar. When inflation hits the economy then even more jobs will go overseas.,1351.95,Not President (Pre-2017),Not In Office,-0.6886,99311.37,0.4505,100450.46,1.4157,101415.73
2012-02-16,2012-02-16,fed_rates,Fed & Interest Rates,sp500,1,-0.6664,negative,116,Twitter,The Fed is considering issuing even more US bond debt into the market. Not good!,1358.04,Not President (Pre-2017),Not In Office,0.2349,100234.9,0.3991,100399.1,3.8077,103807.69
