event_date,buy_date,topic,topic_display,instrument,post_count,avg_sentiment,sentiment_label,total_engagement,platform,headline_text,buy_price,presidency_era,in_office,return_1d_pct,value_1d,return_1w_pct,value_1w,return_1m_pct,value_1m
2011-07-08,2011-07-08,iran_geopolitics,Iran & Geopolitics,oil,1,-0.8253,negative,228,Twitter,@Obama - Iranian weapons killing Americans in Iraq? What are u doing about this? http://bit.ly/olNqW5 ,96.2,Not President (Pre-2017),Not In Office,-1.0915,98908.52,1.0811,101081.08,-15.4782,84521.83
2011-08-29,2011-08-29,iran_geopolitics,Iran & Geopolitics,oil,1,0.5106,positive,165,Twitter,"Iran admits to aiding the Libyan ""Rebels"" and Ahmadinejad received a letter of thanks - when will Washington learn? http://bit.ly/paSPy1 ",87.27,Not President (Pre-2017),Not In Office,1.8678,101867.77,-1.4323,98567.66,-6.944,93056.03
2011-09-08,2011-09-08,iran_geopolitics,Iran & Geopolitics,oil,1,-0.6808,negative,254,Twitter,Why is the UN planning to attack @Israel's sovereignty and ignore Iran's nuclear program? The US should look at future funding.,89.05,Not President (Pre-2017),Not In Office,-2.0326,97967.43,0.393,100393.04,-4.0876,95912.41
2011-09-12,2011-09-12,iran_geopolitics,Iran & Geopolitics,oil,1,-0.2263,negative,254,Twitter,Iran’s nuclear program must be stopped – by any and all means necessary.,88.19,Not President (Pre-2017),Not In Office,2.2905,102290.51,-2.8234,97176.55,-2.9709,97029.14
2011-10-18,2011-10-18,iran_geopolitics,Iran & Geopolitics,oil,2,-0.3974,negative,371,Twitter,Iran was planning to attack the Israeli and Saudi DC embassies. We should respond accordingly. The diplomatic window is closed.,88.34,Not President (Pre-2017),Not In Office,-2.5243,97475.66,5.4675,105467.51,11.8633,111863.26
2011-10-21,2011-10-21,iran_geopolitics,Iran & Geopolitics,oil,1,-0.25,negative,310,Twitter,Why did @BarackObama liberate Libya and do nothing for the Iranian protestors? Iran is a threat to our national security.,87.4,Not President (Pre-2017),Not In Office,4.4279,104427.92,6.7735,106773.46,10.8924,110892.45
2011-10-24,2011-10-24,iran_geopolitics,Iran & Geopolitics,oil,2,0.1797,positive,374,Twitter,We are leaving Iraq after expending a tremendous amount of blood and treasure. We should be reimbursed with oil! -- Don't give it to Iran.,91.27,Not President (Pre-2017),Not In Office,2.0817,102081.74,2.1036,102103.65,5.3687,105368.69
2011-10-26,2011-10-26,iran_geopolitics,Iran & Geopolitics,oil,1,-0.3818,negative,383,Twitter,Why aren't we getting any oil from Iraq before we leave? We are leaving the country wide open for Iran. Big mistake.,90.2,Not President (Pre-2017),Not In Office,4.1685,104168.51,2.561,102560.98,7.2838,107283.81
2011-11-04,2011-11-04,iran_geopolitics,Iran & Geopolitics,oil,1,-0.5939,negative,253,Twitter,Iran's quest for nuclear weapons is a major threat to our nation's national security interests. We can't allow Iran to go nuclear.,94.26,Not President (Pre-2017),Not In Office,1.3367,101336.73,5.018,105018.04,7.1398,107139.83
2011-11-09,2011-11-09,iran_geopolitics,Iran & Geopolitics,oil,1,-0.0423,neutral,259,Twitter,America should not be pressuring @Israel to show restraint against Iran. We should be working to stop Iran's nuclear drive.,95.74,Not President (Pre-2017),Not In Office,2.1308,102130.77,7.1548,107154.79,3.8333,103833.3
2011-11-10,2011-11-10,iran_geopolitics,Iran & Geopolitics,oil,1,0.0,neutral,69,Twitter,China is advocating on behalf of Iran's nuclear program -- the Chinese oppose both sanctions and any militar… (cont) http://deck.ly/~BlGDb ,97.78,Not President (Pre-2017),Not In Office,1.2375,101237.47,1.0636,101063.61,-0.0102,99989.77
2011-11-14,2011-11-14,iran_geopolitics,Iran & Geopolitics,oil,1,0.5267,positive,855,Twitter,@BarackObama will attack Iran in the not too distant future because it will help him win the election. If the… (cont) http://deck.ly/~RSKCl ,98.14,Not President (Pre-2017),Not In Office,1.2533,101253.31,-1.2431,98756.88,-3.2505,96749.54
2011-11-16,2011-11-16,iran_geopolitics,Iran & Geopolitics,oil,2,-0.0683,negative,182,Twitter,#trumpvlog @BarackObama will attack Iran.... http://youtu.be/MWqRIasCf5A ,102.59,Not President (Pre-2017),Not In Office,-3.6748,96325.18,-6.2579,93742.08,-8.8313,91168.73
2011-11-17,2011-11-17,iran_geopolitics,Iran & Geopolitics,oil,1,-0.814,negative,260,Twitter,@Israel faces an existential threat in Iran's nuclear drive. Unfortunately @BarackObama is no friend of Israel.,98.82,Not President (Pre-2017),Not In Office,-1.4268,98573.16,-2.0745,97925.52,-4.999,95001.01
