event_date,buy_date,topic,topic_display,instrument,post_count,avg_sentiment,sentiment_label,total_engagement,platform,headline_text,buy_price,presidency_era,in_office,return_1d_pct,value_1d,return_1w_pct,value_1w,return_1m_pct,value_1m
2011-07-07,2011-07-07,israel_mideast,Israel & Middle East,sp500,1,0.0772,positive,489,Twitter,If only @Obama was as focused on balancing the budget as he is on weakening Israel's borders then America would be on the path to solvency.,1353.22,Not President (Pre-2017),Not In Office,-0.6961,99303.88,-3.2774,96722.63,-17.2744,82725.65
2011-07-14,2011-07-14,israel_mideast,Israel & Middle East,sp500,1,-0.3421,negative,520,Twitter,"@BarackObama You have abandoned Israel and engaged the Muslim Brotherhood, and even the Arab world does not like it http://politi.co/qUTXsA ",1308.87,Not President (Pre-2017),Not In Office,0.5554,100555.44,2.6687,102668.71,-7.9748,92025.18
2011-08-10,2011-08-10,israel_mideast,Israel & Middle East,sp500,1,0.0,neutral,95,Twitter,@BarackObama took another swipe at the State of Israel for building in their capital Jerusalem on a Jewish hol… (cont) http://deck.ly/~7QsGg,1120.76,Not President (Pre-2017),Not In Office,4.629,104629.0,6.525,106525.04,2.9864,102986.37
2011-08-22,2011-08-22,israel_mideast,Israel & Middle East,sp500,1,0.128,positive,187,Twitter,Israel is being barraged by rockets from Gaza recently. They must respond accordingly in defense of their citizens.,1123.8199,Not President (Pre-2017),Not In Office,3.4285,103428.49,7.6756,107675.62,3.8209,103820.91
2011-08-29,2011-08-29,israel_mideast,Israel & Middle East,sp500,1,-0.6597,negative,1575,Twitter,If the Palestinians want statehood then why are they run by the terrorist group Hamas?,1210.08,Not President (Pre-2017),Not In Office,0.2347,100234.7,-3.7055,96294.46,-4.8774,95122.64
2011-09-01,2011-09-01,israel_mideast,Israel & Middle East,sp500,1,-0.3612,negative,340,Twitter,We must stand firm against the UN's ploy to sabotage Israel---if the UN grants the PA statehood then we must immediately defund it.,1204.42,Not President (Pre-2017),Not In Office,-2.5282,97471.81,-1.5377,98462.33,-8.7337,91266.34
2011-09-06,2011-09-06,israel_mideast,Israel & Middle East,sp500,1,-0.4767,negative,278,Twitter,The UN is about to use its Assembly to attack @Israel. We should defund the UN entirely if they can't act resp… (cont) http://deck.ly/~VKD5c ,1165.24,Not President (Pre-2017),Not In Office,2.8646,102864.65,0.6548,100654.8,-0.0232,99976.83
2011-09-08,2011-09-08,israel_mideast,Israel & Middle East,sp500,1,-0.6808,negative,254,Twitter,Why is the UN planning to attack @Israel's sovereignty and ignore Iran's nuclear program? The US should look at future funding.,1185.9,Not President (Pre-2017),Not In Office,-2.6705,97329.45,1.9572,101957.16,0.7581,100758.07
2011-09-13,2011-09-13,israel_mideast,Israel & Middle East,sp500,2,0.6129,positive,301,Twitter,"Friends in NY-9, let @BarackObama know that you don't approve of his mistreatment of @Israel. Vote for @Bobturner9th tomorrow!",1172.87,Not President (Pre-2017),Not In Office,1.348,101347.98,2.4913,102491.32,2.6252,102625.18
2011-09-14,2011-09-14,israel_mideast,Israel & Middle East,sp500,1,0.8378,positive,30,Twitter,@BarackObama RE: NY-9 HOPE YOU GET THE MESSAGE! SUPPORT @Israel! DON'T RAISE TAXES!,1188.6801,Not President (Pre-2017),Not In Office,1.7187,101718.7,-1.8441,98155.93,3.0201,103020.15
2011-09-16,2011-09-16,israel_mideast,Israel & Middle East,sp500,1,0.9201,positive,306,Twitter,I applaud @netanyahu for announcing that he will show up at the UN to defend @Israel. A true US friend and great leader.,1216.01,Not President (Pre-2017),Not In Office,-0.9803,99019.74,-6.5443,93455.65,-1.2459,98754.12
2011-09-19,2011-09-19,israel_mideast,Israel & Middle East,sp500,1,0.0,neutral,102,Twitter,I am increasingly concerned with the UN's ploy against @Israel this coming week and will monitor all events closely from Australia.,1204.09,Not President (Pre-2017),Not In Office,-0.1661,99833.9,-3.4167,96583.31,0.4809,100480.86
2011-09-21,2011-09-21,israel_mideast,Israel & Middle East,sp500,1,0.0,neutral,451,Twitter,Rick Perry is right when he says we must stand by Israel in the UN.,1166.76,Not President (Pre-2017),Not In Office,-3.1883,96811.69,-1.3456,98654.4,6.1272,106127.22
2011-10-06,2011-10-06,israel_mideast,Israel & Middle East,sp500,1,-0.4939,negative,537,Twitter,Why is the UN condemning @Israel and doing nothing about Syria? What a disgrace.,1164.97,Not President (Pre-2017),Not In Office,-0.8163,99183.67,3.3211,103321.12,8.2534,108253.43
2011-10-18,2011-10-18,israel_mideast,Israel & Middle East,sp500,1,-0.4767,negative,202,Twitter,Iran was planning to attack the Israeli and Saudi DC embassies. We should respond accordingly. The diplomatic window is closed.,1225.38,Not President (Pre-2017),Not In Office,-1.2649,98735.09,0.2995,100299.5,-0.7549,99245.13
2011-10-25,2011-10-25,israel_mideast,Israel & Middle East,sp500,1,0.0,neutral,126,Twitter,"The notion of the ""Arab Spring"" is a canard. The Middle East is being conquered by Islamic radicals with th… (cont) http://deck.ly/~GiaW6 ",1229.05,Not President (Pre-2017),Not In Office,1.0537,101053.66,-0.8763,99123.71,-5.7264,94273.63
2011-11-02,2011-11-02,israel_mideast,Israel & Middle East,sp500,1,0.3818,positive,290,Twitter,"Egypt's Muslim Brotherhood just made its first visit to Hamas-led Gaza. Why did @BarackObama promote the ""Arab Spring""?",1237.9,Not President (Pre-2017),Not In Office,1.8782,101878.18,-0.7109,99289.12,0.5154,100515.39
2011-11-09,2011-11-09,israel_mideast,Israel & Middle East,sp500,2,-0.0211,neutral,625,Twitter,"Instead of trash talking @PMIsrael on the world stage, @BarackObama should be defending @Israel.",1229.1,Not President (Pre-2017),Not In Office,0.8624,100862.42,0.6354,100635.42,2.1227,102122.68
