event_date,buy_date,topic,topic_display,instrument,post_count,avg_sentiment,sentiment_label,total_engagement,platform,headline_text,buy_price,presidency_era,in_office,return_1d_pct,value_1d,return_1w_pct,value_1w,return_1m_pct,value_1m
2011-11-18,2011-11-18,vix_fear,Market Fear / VIX,vix,1,0.5106,positive,37,Twitter,"While alternative energy is vital for America's future, the volatility of the industry shows that the technolo… (cont) http://deck.ly/~cR98M ",32.0,Not President (Pre-2017),Not In Office,2.8437,102843.75,7.7187,107718.75,-22.125,77875.0
2013-05-09,2013-05-09,vix_fear,Market Fear / VIX,vix,1,-0.2709,negative,51,Twitter,@MenaceSocietyUT Little Jon Stewart(?) is getting his ass kicked and you and all of his high priced writers know it! Don't panic Jon.,13.13,Not President (Pre-2017),Not In Office,-4.1127,95887.28,-0.457,99543.03,17.5933,117593.3
2014-12-10,2014-12-10,vix_fear,Market Fear / VIX,vix,1,0.4023,positive,349,Twitter,“Generals don't panic; then the troops never panic.” - @SHAQ,18.53,Not President (Pre-2017),Not In Office,8.3648,108364.81,4.911,104910.96,-5.2887,94711.28
2016-06-02,2016-06-02,vix_fear,Market Fear / VIX,vix,1,-0.7177,negative,15602,Twitter,"A 60% increase in Texas Blue Cross/Blue Shield through ObamaCare. I told you so, there is panic and anger as healthcare costs explode!",13.63,Not President (Pre-2017),Not In Office,-1.1739,98826.12,7.4101,107410.12,14.3067,114306.68
2018-10-14,2018-10-15,vix_fear,Market Fear / VIX,vix,1,0.4199,positive,84106,Twitter,Thank you to NBC for the correction! https://twitter.com/NBCNews/status/1051523821642113025 …,21.3,President — 1st Term (2017–2021),In Office,0.0,100000.0,-7.7934,92206.57,-6.0094,93990.61
2019-01-19,2019-01-22,vix_fear,Market Fear / VIX,vix,1,0.1511,positive,126286,Twitter,"The Economy is one of the best in our history, with unemployment at a 50 year low, and the Stock Market ready to again break a record (set by us many times) - & all you heard yesterday, based on a phony story, was Impeachment. You want to see a Stock Market Crash, Impeach Trump!",20.8,President — 1st Term (2017–2021),In Office,0.0,100000.0,-9.2788,90721.15,-28.4615,71538.46
2019-06-15,2019-06-17,vix_fear,Market Fear / VIX,vix,1,0.9058,positive,89025,Twitter,"The Trump Economy is setting records, and has a long way up to go....However, if anyone but me takes over in 2020 (I know the competition very well), there will be a Market Crash the likes of which has not been seen before! KEEP AMERICA GREAT",15.35,President — 1st Term (2017–2021),In Office,0.0,100000.0,-0.5863,99413.68,-17.3941,82605.86
2019-06-20,2019-06-20,vix_fear,Market Fear / VIX,vix,1,0.7209,positive,83877,Twitter,"Since Election Day 2016, Stocks up almost 50%, Stocks gained 9.2 Trillion Dollars in value, and more than 5,000,000 new jobs added to the Economy. @LouDobbs If our opponent had won, there would have been a market crash, plain and simple! @TuckerCarlson @seanhannity @IngrahamAngle",14.75,President — 1st Term (2017–2021),In Office,4.4068,104406.78,7.2542,107254.24,-8.2712,91728.81
2019-10-14,2019-10-14,vix_fear,Market Fear / VIX,vix,1,0.3382,positive,42129,Twitter,....of the correction which they knew about full well! “Fox News Pollster Braun Research Misrepresented Impeachment Poll: Analysis” @NYPost,14.57,President — 1st Term (2017–2021),In Office,-7.0693,92930.68,-3.9121,96087.85,-10.7756,89224.43
2020-02-28,2020-02-28,vix_fear,Market Fear / VIX,vix,1,-0.1007,negative,94898,Twitter,“Anti-Trump Network @CNN doing whatever it can to stoke a national Coronavirus panic. The far left Network pretty much ignoring anyone who they interview who doesn’t blame President Trump.” @trish_regan @FoxNews Media refuses to discuss the great job our professionals are doing!,40.11,President — 1st Term (2017–2021),In Office,-16.6791,83320.87,4.5625,104562.45,42.3087,142308.65
2020-09-10,2020-09-10,vix_fear,Market Fear / VIX,vix,1,0.4403,positive,161566,Twitter,"Bob Woodward had my quotes for many months. If he thought they were so bad or dangerous, why didn't he immediately report them in an effort to save lives? Didn't he have an obligation to do so? No, because he knew they were good and proper answers. Calm, no panic!",29.71,President — 1st Term (2017–2021),In Office,-9.5591,90440.93,-10.9391,89060.92,-15.6176,84382.36
2022-09-14,2022-09-14,vix_fear,Market Fear / VIX,vix,1,-0.7959,negative,46866,Truth Social,"….Our Country is being destroyed by the Radical Left Democrats—stock market crash, no southern border, rampant crime, military failure, and much more. Meanwhile, all they want to do is take vengeance on the 45th President, me, and those who support me. We will never back down. Make America Great Aga",26.16,Not President (2021–2024),Not In Office,0.4205,100420.49,6.9954,106995.41,22.4006,122400.61
2022-09-24,2022-09-26,vix_fear,Market Fear / VIX,vix,1,0.0,neutral,17729,Truth Social,https:// pjmedia.com/news-and-politics/ ryanledendecker/2022/09/23/trumps-top-guys-launch-new-maga-super-pac-dem-candidates-should-panic-n1631761,32.26,Not President (2021–2024),Not In Office,0.0,100000.0,-6.6956,93304.4,-7.4706,92529.45
2022-12-10,2022-12-12,vix_fear,Market Fear / VIX,vix,1,0.0,neutral,13851,Truth Social,https://www. breitbart.com/entertainment/20 22/12/08/nolte-studios-panic-streaming-fails-offset-cord-cutting-yeah-cuz-your-content-sucks/,25.0,Not President (2021–2024),Not In Office,0.0,100000.0,-10.32,89680.0,-12.12,87880.0
2022-12-14,2022-12-14,vix_fear,Market Fear / VIX,vix,1,0.5081,positive,9640,Truth Social,A very interesting read! https://www. breitbart.com/entertainment/20 22/12/08/nolte-studios-panic-streaming-fails-offset-cord-cutting-yeah-cuz-your-content-sucks/,21.14,Not President (2021–2024),Not In Office,7.9943,107994.32,-5.0615,94938.51,-13.1977,86802.27
2023-05-29,2023-05-30,vix_fear,Market Fear / VIX,vix,1,-0.6322,negative,24401,Truth Social,"Ron DeSanctimonious just stated, without correction on Fox & Friends, that I was “backing” Disney. Wrong! Fox should have read my posted TRUTH on Disney, but that’s not the game they play. Also, in the polls, I am beating Biden by a lot, “Rob” isn’t! Also, WAY UP ON RON. Check out the DeSanctus spee",17.46,Not President (2021–2024),Not In Office,0.0,100000.0,-15.6357,84364.26,-23.0813,76918.67
2023-06-29,2023-06-29,vix_fear,Market Fear / VIX,vix,1,0.0,neutral,14747,Truth Social,“Dan Meuser: We need a course correction in 2024“ https://www. timesleader.com/opinion/161279 8/dan-meuser-we-need-a-course-correction-in-2024,13.54,Not President (2021–2024),Not In Office,0.3693,100369.28,14.0325,114032.5,0.6647,100664.7
2023-09-12,2023-09-12,vix_fear,Market Fear / VIX,vix,1,0.0,neutral,12245,Truth Social,https:// pjmedia.com/news-and-politics/ matt-margolis/2023/09/08/im-really-enjoying-the-media-panic-about-trump-n1725422,14.23,Not President (2021–2024),Not In Office,-5.2706,94729.44,-0.8433,99156.71,17.2874,117287.42
2023-09-14,2023-09-14,vix_fear,Market Fear / VIX,vix,1,0.0,neutral,10510,Truth Social,https:// pjmedia.com/news-and-politics/ matt-margolis/2023/09/08/im-really-enjoying-the-media-panic-about-trump-n1725422,12.82,Not President (2021–2024),Not In Office,7.5663,107566.3,36.8175,136817.47,34.2434,134243.37
2023-09-22,2023-09-22,vix_fear,Market Fear / VIX,vix,1,0.0,neutral,21179,Truth Social,https://www. westernjournal.com/dnc-panic-m ode-trump-seeing-levels-minority-support-no-republican-50-years-reached/,17.2,Not President (2021–2024),Not In Office,-1.7442,98255.81,1.8605,101860.47,18.4302,118430.23
2023-09-24,2023-09-25,vix_fear,Market Fear / VIX,vix,1,0.0,neutral,10475,Truth Social,https:// newsbusters.org/blogs/nb/kevin -tober/2023/09/24/panic-abc-hyperventilates-over-poll-showing-trump-beating-biden-big,16.9,Not President (2021–2024),Not In Office,0.0,100000.0,4.2012,104201.18,12.2485,112248.52
2024-06-03,2024-06-03,vix_fear,Market Fear / VIX,vix,1,-0.7321,negative,19429,Truth Social,"Dr. Sebastian Gorka: “In a back and forth lasting for hours, with scores of requests from either side, Merchan accepted every demand from Alvin Bragg's team, and none from the defense. Correction: He said off one request, ‘I’ll think about it.’ As Matt Whittaker, former Attorney General, has stated,",13.11,Not President (2021–2024),Not In Office,0.3814,100381.39,-2.8223,97177.73,-7.7803,92219.68
2024-07-08,2024-07-08,vix_fear,Market Fear / VIX,vix,1,0.7162,positive,12122,Truth Social,"Joy Reid on MSNBC, perhaps the most pro-Biden, anti-Trump person on cable news, said this: “My phone never really stopped buzzing throughout. The universal reaction was … approaching panic!”",12.37,Not President (2021–2024),Not In Office,1.1318,101131.77,6.0631,106063.06,125.1415,225141.47
2024-08-05,2024-08-05,vix_fear,Market Fear / VIX,vix,1,-0.831,negative,30653,Truth Social,"“Japan down 12%, India down 6%. Germany way down also. U.S. really bad. This is a preview of the world markets without Donald J. Trump in the White House. None of this happens if Trump is in. Kamala and the markets don’t go together. She’ll destroy the markets. She’s in power now and look at what is",38.57,Not President (2021–2024),Not In Office,-28.1566,71843.4,-46.3054,53694.58,-44.7239,55276.12
2024-09-14,2024-09-16,vix_fear,Market Fear / VIX,vix,1,0.0,neutral,13604,Truth Social,https:// hannity.com/media-room/uh-yeah -she-said-that-time-magazine-forced-to-issue-correction-after-claiming-kamala-never-supported-funding-sex-changes-for-migrants/,17.14,Not President (2021–2024),Not In Office,0.0,100000.0,-7.2929,92707.12,14.9358,114935.82
2025-08-01,2025-08-01,vix_fear,Market Fear / VIX,vix,1,0.8475,positive,6272,Truth Social,"In my opinion, today’s Jobs Numbers were RIGGED in order to make the Republicans, and ME, look bad — Just like when they had three great days around the 2024 Presidential Election, and then, those numbers were “taken away” on November 15, 2024, right after the Election, when the Jobs Numbers were ma",20.38,President — 2nd Term (2025+),In Office,-14.0334,85966.63,-25.6624,74337.59,-15.7507,84249.26
2025-08-03,2025-08-04,vix_fear,Market Fear / VIX,vix,1,-0.8422,negative,113,Truth Social,"Head of the Bureau of of Labor Statistics did the same thing just before the Presidential Election, when she lifted the numbers for jobs to an all time high. I then won the Election, anyway, and she readjusted the numbers downward, calling it a mistake, of almost one million jobs. A SCAM! She did it",17.52,President — 2nd Term (2025+),In Office,0.0,100000.0,-7.2489,92751.14,-1.9977,98002.28
2025-08-27,2025-08-27,vix_fear,Market Fear / VIX,vix,1,-0.9711,negative,2,Truth Social,"A really DEADLY weekend in Chicago. 6 DEAD, 27 HURT IN CRIME SPREES ALLOVER THE CITY. Panic stricken Governor Pritzker says that crime is under control, when in fact it is just the opposite. He is an incompetent Governor who should call me for HELP. Mayor Johnson is no better. Make Chicago Great Aga",14.85,President — 2nd Term (2025+),In Office,-2.8283,97171.72,10.101,110101.01,2.963,102962.96
2025-12-19,2025-12-19,vix_fear,Market Fear / VIX,vix,1,0.0,neutral,119,Truth Social,Insurance companies are ripping off America. Healthcare money must go directly to the PEOPLE. Dems must get on board!!!\n https:// nypost.com/2025/12/10/opinion/ insurance-companies-are-making-record-profits-off-climate-change-panic-not-facts/,14.91,President — 2nd Term (2025+),In Office,-5.5667,94433.27,-8.786,91213.95,,
