instrument,presidency_era,horizon,n_events,mean_return_pct,median_return_pct,win_rate_pct,best_return_pct,worst_return_pct,avg_value_of_100k
bitcoin,Not President (2021–2024),1d,14,0.026,0.067,57.1,4.21,-3.94,100026.0
bitcoin,Not President (2021–2024),1w,14,-0.85,-0.498,50.0,8.28,-14.84,99149.97
bitcoin,Not President (2021–2024),1m,14,3.643,2.92,50.0,37.36,-15.15,103642.81
bitcoin,President — 1st Term (2017–2021),1d,1,-3.585,-3.585,0.0,-3.58,-3.58,96414.96
bitcoin,President — 1st Term (2017–2021),1w,1,-10.877,-10.877,0.0,-10.88,-10.88,89122.75
bitcoin,President — 1st Term (2017–2021),1m,1,-2.475,-2.475,0.0,-2.47,-2.47,97525.33
bitcoin,President — 2nd Term (2025+),1d,13,-1.073,-0.054,46.2,2.18,-8.68,98927.1
bitcoin,President — 2nd Term (2025+),1w,13,-2.131,0.006,53.8,2.85,-14.48,97869.43
bitcoin,President — 2nd Term (2025+),1m,13,-1.377,-1.431,30.8,12.66,-9.63,98622.72
dow,Not President (2021–2024),1d,1,0.595,0.595,100.0,0.59,0.59,100594.8
dow,Not President (2021–2024),1w,1,-1.456,-1.456,0.0,-1.46,-1.46,98543.77
dow,Not President (2021–2024),1m,1,-0.956,-0.956,0.0,-0.96,-0.96,99044.25
dow,Not President (Pre-2017),1d,1,-0.005,-0.005,0.0,-0.01,-0.01,99994.92
dow,Not President (Pre-2017),1w,1,-0.186,-0.186,0.0,-0.19,-0.19,99814.23
dow,Not President (Pre-2017),1m,1,3.139,3.139,100.0,3.14,3.14,103139.34
dow,President — 1st Term (2017–2021),1d,13,-0.039,0.0,46.2,1.05,-2.78,99960.64
dow,President — 1st Term (2017–2021),1w,13,-0.028,-0.038,38.5,3.02,-3.99,99971.87
dow,President — 1st Term (2017–2021),1m,13,-1.282,1.663,61.5,5.34,-27.58,98718.34
gold,Not President (2021–2024),1d,24,0.008,0.0,33.3,1.17,-2.26,100007.64
gold,Not President (2021–2024),1w,24,0.507,0.689,66.7,4.05,-4.52,100506.75
gold,Not President (2021–2024),1m,24,2.562,2.921,79.2,9.51,-4.99,102561.87
gold,Not President (Pre-2017),1d,48,0.074,0.0,45.8,1.58,-1.47,100073.92
gold,Not President (Pre-2017),1w,48,0.306,0.594,52.1,5.01,-5.65,100306.01
gold,Not President (Pre-2017),1m,48,0.001,-0.593,45.8,12.5,-11.95,100000.82
gold,President — 1st Term (2017–2021),1d,10,0.017,0.0,30.0,0.75,-0.64,100017.32
gold,President — 1st Term (2017–2021),1w,10,0.353,0.278,50.0,3.46,-3.1,100352.8
gold,President — 1st Term (2017–2021),1m,10,0.002,0.558,60.0,1.79,-3.3,100002.02
gold,President — 2nd Term (2025+),1d,12,0.32,0.0,41.7,2.12,-0.89,100319.94
gold,President — 2nd Term (2025+),1w,12,0.693,1.355,50.0,5.71,-5.02,100693.46
gold,President — 2nd Term (2025+),1m,10,4.154,3.942,70.0,18.11,-3.7,104153.67
nasdaq,Not President (2021–2024),1d,20,0.021,0.0,35.0,2.69,-1.93,100020.83
nasdaq,Not President (2021–2024),1w,20,-0.083,-0.212,50.0,3.17,-3.99,99916.66
nasdaq,Not President (2021–2024),1m,20,0.985,1.46,55.0,8.9,-9.38,100984.77
nasdaq,President — 1st Term (2017–2021),1d,40,0.027,0.04,50.0,2.71,-5.27,100026.93
nasdaq,President — 1st Term (2017–2021),1w,40,0.633,0.429,60.0,6.9,-3.53,100633.27
nasdaq,President — 1st Term (2017–2021),1m,40,3.874,3.821,92.5,12.7,-4.62,103873.87
nasdaq,President — 2nd Term (2025+),1d,14,-0.274,0.0,35.7,1.51,-3.07,99726.1
nasdaq,President — 2nd Term (2025+),1w,14,-1.186,-0.634,42.9,1.97,-5.71,98814.11
nasdaq,President — 2nd Term (2025+),1m,13,3.651,3.658,76.9,13.76,-10.29,103650.93
oil,Not President (2021–2024),1d,113,-0.171,0.0,26.5,5.96,-4.31,99829.44
oil,Not President (2021–2024),1w,113,-0.246,-0.26,47.8,13.16,-10.89,99753.8
oil,Not President (2021–2024),1m,113,-1.548,-1.702,41.6,21.8,-21.55,98451.64
oil,Not President (Pre-2017),1d,325,-0.095,0.0,44.3,6.1,-7.73,99904.6
oil,Not President (Pre-2017),1w,325,-0.389,-0.287,45.2,13.4,-14.55,99610.82
oil,Not President (Pre-2017),1m,325,-1.483,-1.646,41.8,25.27,-26.31,98516.5
oil,President — 1st Term (2017–2021),1d,166,0.531,0.0,39.2,37.66,-10.26,100531.14
oil,President — 1st Term (2017–2021),1w,166,-3.069,0.391,56.6,26.07,-267.92,96931.02
oil,President — 1st Term (2017–2021),1m,166,2.127,1.228,53.0,238.86,-57.91,102127.35
oil,President — 2nd Term (2025+),1d,101,0.07,0.0,39.6,7.26,-8.57,100070.0
oil,President — 2nd Term (2025+),1w,101,-0.588,-0.466,47.5,13.01,-16.32,99412.25
oil,President — 2nd Term (2025+),1m,96,-1.845,-2.475,33.3,16.47,-18.56,98155.2
sp500,Not President (2021–2024),1d,439,0.051,0.0,37.4,3.09,-3.88,100051.03
sp500,Not President (2021–2024),1w,439,0.28,0.354,57.6,6.45,-9.02,100279.55
sp500,Not President (2021–2024),1m,439,1.669,2.326,71.3,13.37,-12.12,101669.35
sp500,Not President (Pre-2017),1d,496,0.041,0.0,47.8,4.74,-4.78,100041.47
sp500,Not President (Pre-2017),1w,496,0.242,0.406,59.7,7.68,-11.07,100241.72
sp500,Not President (Pre-2017),1m,496,1.106,1.575,66.9,11.64,-17.27,101105.85
sp500,President — 1st Term (2017–2021),1d,606,0.038,0.0,40.6,9.38,-11.98,100037.75
sp500,President — 1st Term (2017–2021),1w,606,0.343,0.567,64.0,17.4,-17.97,100342.89
sp500,President — 1st Term (2017–2021),1m,606,1.576,2.23,75.9,25.11,-32.97,101575.52
sp500,President — 2nd Term (2025+),1d,231,0.066,0.0,44.6,9.52,-5.98,100065.87
sp500,President — 2nd Term (2025+),1w,228,0.428,0.605,64.0,8.31,-11.54,100427.87
sp500,President — 2nd Term (2025+),1m,214,1.492,1.889,72.4,15.17,-13.15,101491.58
vix,Not President (2021–2024),1d,14,-1.236,0.0,42.9,7.99,-28.16,98763.73
vix,Not President (2021–2024),1w,14,-1.786,-1.833,42.9,36.82,-46.31,98213.81
vix,Not President (2021–2024),1m,14,9.784,6.457,57.1,125.14,-44.72,109784.17
vix,Not President (Pre-2017),1d,4,1.48,0.835,50.0,8.36,-4.11,101480.49
vix,Not President (Pre-2017),1w,4,4.896,6.161,75.0,7.72,-0.46,104895.72
vix,Not President (Pre-2017),1m,4,1.122,4.509,50.0,17.59,-22.12,101121.56
vix,President — 1st Term (2017–2021),1d,7,-4.129,0.0,14.3,4.41,-16.68,95871.32
vix,President — 1st Term (2017–2021),1w,7,-2.956,-3.912,28.6,7.25,-10.94,97043.84
vix,President — 1st Term (2017–2021),1m,7,-6.317,-10.776,14.3,42.31,-28.46,93682.74
vix,President — 2nd Term (2025+),1d,4,-5.607,-4.198,0.0,0.0,-14.03,94392.9
vix,President — 2nd Term (2025+),1w,4,-7.899,-8.017,25.0,10.1,-25.66,92100.92
vix,President — 2nd Term (2025+),1m,3,-4.928,-1.998,33.3,2.96,-15.75,95071.5
