topic,topic_display,instrument,presidency_era,horizon,n_events,mean_return_pct,median_return_pct,win_rate_pct,best_return_pct,worst_return_pct,avg_value_of_100k
bitcoin,Bitcoin,bitcoin,Not President (2021–2024),1d,14,0.026,0.067,57.1,4.21,-3.94,100026.0
bitcoin,Bitcoin,bitcoin,Not President (2021–2024),1w,14,-0.85,-0.498,50.0,8.28,-14.84,99149.97
bitcoin,Bitcoin,bitcoin,Not President (2021–2024),1m,14,3.643,2.92,50.0,37.36,-15.15,103642.81
bitcoin,Bitcoin,bitcoin,President — 1st Term (2017–2021),1d,1,-3.585,-3.585,0.0,-3.58,-3.58,96414.96
bitcoin,Bitcoin,bitcoin,President — 1st Term (2017–2021),1w,1,-10.877,-10.877,0.0,-10.88,-10.88,89122.75
bitcoin,Bitcoin,bitcoin,President — 1st Term (2017–2021),1m,1,-2.475,-2.475,0.0,-2.47,-2.47,97525.33
bitcoin,Bitcoin,bitcoin,President — 2nd Term (2025+),1d,13,-1.073,-0.054,46.2,2.18,-8.68,98927.1
bitcoin,Bitcoin,bitcoin,President — 2nd Term (2025+),1w,13,-2.131,0.006,53.8,2.85,-14.48,97869.43
bitcoin,Bitcoin,bitcoin,President — 2nd Term (2025+),1m,13,-1.377,-1.431,30.8,12.66,-9.63,98622.72
dow,Dow Jones,dow,Not President (2021–2024),1d,1,0.595,0.595,100.0,0.59,0.59,100594.8
dow,Dow Jones,dow,Not President (2021–2024),1w,1,-1.456,-1.456,0.0,-1.46,-1.46,98543.77
dow,Dow Jones,dow,Not President (2021–2024),1m,1,-0.956,-0.956,0.0,-0.96,-0.96,99044.25
dow,Dow Jones,dow,Not President (Pre-2017),1d,1,-0.005,-0.005,0.0,-0.01,-0.01,99994.92
dow,Dow Jones,dow,Not President (Pre-2017),1w,1,-0.186,-0.186,0.0,-0.19,-0.19,99814.23
dow,Dow Jones,dow,Not President (Pre-2017),1m,1,3.139,3.139,100.0,3.14,3.14,103139.34
dow,Dow Jones,dow,President — 1st Term (2017–2021),1d,13,-0.039,0.0,46.2,1.05,-2.78,99960.64
dow,Dow Jones,dow,President — 1st Term (2017–2021),1w,13,-0.028,-0.038,38.5,3.02,-3.99,99971.87
dow,Dow Jones,dow,President — 1st Term (2017–2021),1m,13,-1.282,1.663,61.5,5.34,-27.58,98718.34
fed_rates,Fed & Interest Rates,sp500,Not President (2021–2024),1d,198,0.119,0.0,41.9,2.53,-3.88,100118.9
fed_rates,Fed & Interest Rates,sp500,Not President (2021–2024),1w,198,0.321,0.516,59.6,6.45,-9.02,100321.35
fed_rates,Fed & Interest Rates,sp500,Not President (2021–2024),1m,198,1.899,2.889,75.8,13.37,-12.12,101899.4
fed_rates,Fed & Interest Rates,sp500,Not President (Pre-2017),1d,31,0.302,0.161,58.1,4.63,-2.5,100301.96
fed_rates,Fed & Interest Rates,sp500,Not President (Pre-2017),1w,31,0.403,0.322,61.3,6.52,-1.9,100403.47
fed_rates,Fed & Interest Rates,sp500,Not President (Pre-2017),1m,31,1.099,2.022,58.1,8.01,-7.37,101099.25
fed_rates,Fed & Interest Rates,sp500,President — 1st Term (2017–2021),1d,83,-0.088,0.009,51.8,4.96,-11.98,99912.17
fed_rates,Fed & Interest Rates,sp500,President — 1st Term (2017–2021),1w,83,-0.148,0.574,65.1,6.62,-14.98,99852.29
fed_rates,Fed & Interest Rates,sp500,President — 1st Term (2017–2021),1m,83,0.181,1.971,65.1,12.68,-28.85,100180.98
fed_rates,Fed & Interest Rates,sp500,President — 2nd Term (2025+),1d,76,0.159,0.0,48.7,3.26,-2.36,100159.18
fed_rates,Fed & Interest Rates,sp500,President — 2nd Term (2025+),1w,73,1.029,0.829,74.0,7.18,-2.7,101028.55
fed_rates,Fed & Interest Rates,sp500,President — 2nd Term (2025+),1m,69,1.833,2.015,76.8,13.31,-9.84,101832.65
gold,Gold,gold,Not President (2021–2024),1d,24,0.008,0.0,33.3,1.17,-2.26,100007.64
gold,Gold,gold,Not President (2021–2024),1w,24,0.507,0.689,66.7,4.05,-4.52,100506.75
gold,Gold,gold,Not President (2021–2024),1m,24,2.562,2.921,79.2,9.51,-4.99,102561.87
gold,Gold,gold,Not President (Pre-2017),1d,48,0.074,0.0,45.8,1.58,-1.47,100073.92
gold,Gold,gold,Not President (Pre-2017),1w,48,0.306,0.594,52.1,5.01,-5.65,100306.01
gold,Gold,gold,Not President (Pre-2017),1m,48,0.001,-0.593,45.8,12.5,-11.95,100000.82
gold,Gold,gold,President — 1st Term (2017–2021),1d,10,0.017,0.0,30.0,0.75,-0.64,100017.32
gold,Gold,gold,President — 1st Term (2017–2021),1w,10,0.353,0.278,50.0,3.46,-3.1,100352.8
gold,Gold,gold,President — 1st Term (2017–2021),1m,10,0.002,0.558,60.0,1.79,-3.3,100002.02
gold,Gold,gold,President — 2nd Term (2025+),1d,12,0.32,0.0,41.7,2.12,-0.89,100319.94
gold,Gold,gold,President — 2nd Term (2025+),1w,12,0.693,1.355,50.0,5.71,-5.02,100693.46
gold,Gold,gold,President — 2nd Term (2025+),1m,10,4.154,3.942,70.0,18.11,-3.7,104153.67
iran_geopolitics,Iran & Geopolitics,oil,Not President (2021–2024),1d,56,0.086,0.0,28.6,5.77,-3.6,100086.48
iran_geopolitics,Iran & Geopolitics,oil,Not President (2021–2024),1w,56,0.23,0.324,51.8,13.16,-10.89,100230.08
iran_geopolitics,Iran & Geopolitics,oil,Not President (2021–2024),1m,56,-0.382,-0.984,46.4,17.03,-17.87,99618.27
iran_geopolitics,Iran & Geopolitics,oil,Not President (Pre-2017),1d,168,-0.082,0.0,42.9,6.1,-7.73,99917.54
iran_geopolitics,Iran & Geopolitics,oil,Not President (Pre-2017),1w,168,-0.357,-0.306,46.4,13.4,-14.55,99642.69
iran_geopolitics,Iran & Geopolitics,oil,Not President (Pre-2017),1m,168,-1.043,-0.956,42.3,25.27,-26.31,98956.75
