instrument,in_office,horizon,n_events,mean_return_pct,median_return_pct,win_rate_pct,best_return_pct,worst_return_pct,avg_value_of_100k
bitcoin,In Office,1d,14,-1.252,-0.298,42.9,2.18,-8.68,98747.66
bitcoin,In Office,1w,14,-2.755,-0.153,50.0,2.85,-14.48,97244.67
bitcoin,In Office,1m,14,-1.456,-1.953,28.6,12.66,-9.63,98544.34
bitcoin,Not In Office,1d,14,0.026,0.067,57.1,4.21,-3.94,100026.0
bitcoin,Not In Office,1w,14,-0.85,-0.498,50.0,8.28,-14.84,99149.97
bitcoin,Not In Office,1m,14,3.643,2.92,50.0,37.36,-15.15,103642.81
dow,In Office,1d,13,-0.039,0.0,46.2,1.05,-2.78,99960.64
dow,In Office,1w,13,-0.028,-0.038,38.5,3.02,-3.99,99971.87
dow,In Office,1m,13,-1.282,1.663,61.5,5.34,-27.58,98718.34
dow,Not In Office,1d,2,0.295,0.295,50.0,0.59,-0.01,100294.86
dow,Not In Office,1w,2,-0.821,-0.821,0.0,-0.19,-1.46,99179.0
dow,Not In Office,1m,2,1.092,1.092,50.0,3.14,-0.96,101091.8
gold,In Office,1d,22,0.182,0.0,36.4,2.12,-0.89,100182.39
gold,In Office,1w,22,0.539,0.278,50.0,5.71,-5.02,100538.61
gold,In Office,1m,20,2.078,1.388,65.0,18.11,-3.7,102077.85
gold,Not In Office,1d,72,0.052,0.0,41.7,1.58,-2.26,100051.83
gold,Not In Office,1w,72,0.373,0.594,56.9,5.01,-5.65,100372.93
gold,Not In Office,1m,72,0.855,1.025,56.9,12.5,-11.95,100854.5
nasdaq,In Office,1d,54,-0.051,0.0,46.3,2.71,-5.27,99948.94
nasdaq,In Office,1w,54,0.162,0.269,55.6,6.9,-5.71,100161.64
nasdaq,In Office,1m,53,3.819,3.789,88.7,13.76,-10.29,103819.19
nasdaq,Not In Office,1d,20,0.021,0.0,35.0,2.69,-1.93,100020.83
nasdaq,Not In Office,1w,20,-0.083,-0.212,50.0,3.17,-3.99,99916.66
nasdaq,Not In Office,1m,20,0.985,1.46,55.0,8.9,-9.38,100984.77
oil,In Office,1d,267,0.357,0.0,39.3,37.66,-10.26,100356.7
oil,In Office,1w,267,-2.13,0.182,53.2,26.07,-267.92,97869.61
oil,In Office,1m,262,0.672,-0.761,45.8,238.86,-57.91,100671.91
oil,Not In Office,1d,438,-0.115,0.0,39.7,6.1,-7.73,99885.21
oil,Not In Office,1w,438,-0.352,-0.287,45.9,13.4,-14.55,99647.71
oil,Not In Office,1m,438,-1.5,-1.69,41.8,25.27,-26.31,98499.77
sp500,In Office,1d,837,0.046,0.0,41.7,9.52,-11.98,100045.51
sp500,In Office,1w,834,0.366,0.574,64.0,17.4,-17.97,100366.12
sp500,In Office,1m,820,1.554,2.156,75.0,25.11,-32.97,101553.61
sp500,Not In Office,1d,935,0.046,0.0,42.9,4.74,-4.78,100045.96
sp500,Not In Office,1w,935,0.259,0.39,58.7,7.68,-11.07,100259.48
sp500,Not In Office,1m,935,1.37,1.942,69.0,13.37,-17.27,101370.42
vix,In Office,1d,11,-4.666,-2.828,9.1,4.41,-16.68,95333.72
vix,In Office,1w,11,-4.754,-7.249,27.3,10.1,-25.66,95246.41
vix,In Office,1m,10,-5.901,-9.523,20.0,42.31,-28.46,94099.37
vix,Not In Office,1d,18,-0.633,0.0,44.4,8.36,-28.16,99367.45
vix,Not In Office,1w,18,-0.301,0.702,50.0,36.82,-46.31,99698.68
vix,Not In Office,1m,18,7.859,6.457,55.6,125.14,-44.72,107859.14
